YEAR,MONTH,DESCRIPTION,UNIT,ACTUAL,BUDGET,ACTUAL VS BUDGET
2022,Januari,International,TEUs,95784.0,96409.0,-0.0065
2022,Februari,International,TEUs,116267.0,114347.0,0.0168
2022,Maret,International,TEUs,99209.0,126259.0,-0.2142
2022,April,International,TEUs,105519.0,123278.0,-0.1441
2022,Mei,International,TEUs,99338.0,107564.0,-0.0765
2022,Juni,International,TEUs,109829.0,116540.0,-0.0576
2022,Juli,International,TEUs,106383.0,108140.0,-0.0162
2022,Agustus,International,TEUs,125414.0,120712.0,0.039
2022,September,International,TEUs,97951.0,105279.0,-0.0696
2022,Oktober,International,TEUs,113762.0,118695.0,-0.0416
2022,November,International,TEUs,108161.0,115252.0,-0.0615
2022,Desember,International,TEUs,115879.0,120678.0,-0.0398
2023,Januari,International,TEUs,98611.0,104854.0,-0.0595
2023,Februari,International,TEUs,96819.0,102370.0,-0.0542
2023,Maret,International,TEUs,116230.0,107207.0,0.0842
2023,April,International,TEUs,102222.0,104331.0,-0.0202
2023,Mei,International,TEUs,121561.0,108907.0,0.1162
2023,Juni,International,TEUs,109328.0,109037.0,0.0027
2023,Juli,International,TEUs,130100.0,109430.0,0.1889
2023,Agustus,International,TEUs,115017.0,109822.0,0.0473
2023,September,International,TEUs,119730.0,112031.0,0.0687
2023,Oktober,International,TEUs,128720.0,112960.0,0.1395
2023,November,International,TEUs,112829.0,113482.0,-0.0058
2023,Desember,International,TEUs,124762.0,112971.0,0.1044
2024,Januari,International,TEUs,119547.0,105043.0,0.1381
2024,Februari,International,TEUs,115250.0,92926.0,0.2402
2024,Maret,International,TEUs,125120.0,100323.0,0.2472
2024,April,International,TEUs,101.59,103.179,-0.0154
2024,Mei,International,TEUs,132029.0,110769.0,0.1919
2024,Juni,International,TEUs,120013.0,112367.0,0.068
2024,Juli,International,TEUs,128920.0,113965.0,0.1312
2024,Agustus,International,TEUs,135747.0,115563.0,0.1747
2024,September,International,TEUs,130348.0,117161.0,0.1126
2024,Oktober,International,TEUs,136937.0,119424.0,0.1466
2024,November,International,TEUs,121705.0,121022.0,0.0056
2024,Desember,International,TEUs,141540.0,125243.0,0.130123040808668
2025,Januari,International,TEUs,114919.0,111747.0,0.0283855495002103
2025,Februari,International,TEUs,117761.0,116352.0,0.0121098047304731
2025,Maret,International,TEUs,128373.0,125408.0,0.0236428298035214
2025,April,International,TEUs,114955.0,121110.0,-0.050821567170341
2025,Mei,International,TEUs,127873.0,128632.0,-0.0059005535170098
2025,Juni,International,TEUs,130299.0,127557.0,0.0214962722547567
2025,Juli,International,TEUs,133709.0,136000.0,-0.0168455882352941
2025,Agustus,International,TEUs,120637.0,138302.0,-0.127727726280169
2025,September,International,TEUs,127302.0,125101.0,0.0175937842223484
2025,Oktober,International,TEUs,138106.0,139377.0,-0.0091191516534291
2025,November,International,TEUs,125364.0,127097.0,-0.013635254962745
